pair_id,ground_truth,quantum,classical_cosine,classical_euclidean,classical_weighted
2845,0.6936090581909694,0.6936090581909694,0.8328319507505518,0.8330828302972558,0.8330828302972558
2846,0.8609323108733935,0.8609323108733935,0.9278643817247183,0.8903523687174215,0.8903523687174215
2847,0.515037305078464,0.515037305078464,0.7176609959294598,0.7830748961544022,0.7830748961544023
2848,0.6134740550451022,0.6134740550451022,0.7832458458524388,0.8099324005572573,0.8099324005572573
2849,0.5964272402045773,0.5964272402045773,0.7722870193163792,0.8051868499118446,0.8051868499118446
2850,0.6519885164056236,0.6519885164056236,0.8074580586046707,0.8208622776579756,0.8208622776579756
2851,0.5787869476780084,0.5787869476780084,0.7607804858683013,0.800325467267481,0.800325467267481
2852,0.7832022554731985,0.7832022554731985,0.884987149891567,0.8615485343110969,0.8615485343110969
2853,0.6673144736009995,0.6673144736009995,0.8168931837155942,0.825306546447591,0.825306546447591
2854,0.5837803155444443,0.5837803155444443,0.7640551783375625,0.8016968559408612,0.8016968559408612
2855,0.47420514128780966,0.47420514128780966,0.6886255450444818,0.7721936293854221,0.7721936293854221
2856,0.5037702675122848,0.5037702675122848,0.7097677560387516,0.7800635531336199,0.7800635531336199
2857,0.5984346396945066,0.5984346396945066,0.773585573608057,0.8057431140680194,0.8057431140680195
2858,0.46312001285896465,0.46312001285896465,0.6805292152868712,0.7692509354612211,0.7692509354612211
2859,0.6597866198294526,0.6597866198294526,0.8122725034306237,0.8231160943022344,0.8231160943022344
2860,0.7639692986556513,0.7639692986556513,0.874053372887292,0.8551169281151705,0.8551169281151705
2861,0.7485932023008192,0.7485932023008192,0.8652128075224149,0.8501182730297068,0.8501182730297068
2862,0.6102221671116045,0.6102221671116045,0.781167182561841,0.8090232049706217,0.8090232049706217
2863,0.14412205730917407,0.14412205730917407,0.3796341097809496,0.6784501360029702,0.6784501360029702
2864,0.5178821469901225,0.5178821469901225,0.719640289999193,0.783836593444987,0.783836593444987
2865,0.3473943852227019,0.3473943852227019,0.5894017180350782,0.73840289184673,0.73840289184673
2866,0.641319051548895,0.641319051548895,0.8008239828756974,0.817802297341458,0.817802297341458
2867,0.6753360187756025,0.6753360187756025,0.8217883053290566,0.8276574657496765,0.8276574657496766
2868,0.4875268089033097,0.4875268089033097,0.6982312001789307,0.7757349782730748,0.7757349782730748
2869,0.5745864718205603,0.5745864718205603,0.7580148229556997,0.7991745463326007,0.7991745463326007
2870,0.7088770133037274,0.7088770133037274,0.8419483436076869,0.837697989131212,0.837697989131212
2871,0.5538219594363641,0.5538219594363641,0.7441921522270739,0.79351842383523,0.7935184238352301
2872,0.5964071089612937,0.5964071089612937,0.7722739856820854,0.8051812747201839,0.8051812747201839
2873,0.6179376278557659,0.6179376278557659,0.7860900888929754,0.8111835498396106,0.8111835498396106
2874,0.6020455986868453,0.6020455986868453,0.7759159739861303,0.8067454071206113,0.8067454071206113
2875,0.640638779164075,0.640638779164075,0.8003991374083776,0.8176080856179829,0.8176080856179829
2876,0.682529802625617,0.682529802625617,0.8261536192655802,0.8297813265558975,0.8297813265558975
2877,0.448976682808723,0.448976682808723,0.6700572235329779,0.7654995463874245,0.7654995463874245
2878,0.28585826138781,0.28585826138781,0.5346571437732877,0.7215091694427767,0.7215091694427767
2879,0.5484042578416759,0.5484042578416759,0.7405432180782401,0.7920509750276284,0.7920509750276284
2880,0.7743096542224215,0.7743096542224215,0.8799486656745504,0.8585483979556673,0.8585483979556673
2881,0.6639163990850915,0.6639163990850915,0.8148106522898995,0.8243159333205861,0.8243159333205861
2882,0.39174033986923595,0.39174033986923595,0.6258916358837494,0.7502973888414959,0.7502973888414959
2883,0.7597981078074214,0.7597981078074214,0.8716639879032639,0.8537490671843218,0.8537490671843218
2884,0.4781806186127836,0.4781806186127836,0.6915060510312138,0.7732497890597136,0.7732497890597136
2885,0.7202999840192721,0.7202999840192721,0.8487048862939766,0.8412049991834214,0.8412049991834214
2886,0.5855064350865313,0.5855064350865313,0.7651839223915591,0.802171759006101,0.802171759006101
2887,0.7404080830840959,0.7404080830840959,0.8604696874870702,0.8475039276391411,0.8475039276391411
2888,0.28791093566793496,0.28791093566793496,0.5365733273914526,0.7220831441454274,0.7220831441454275
2889,0.5622471246460583,0.5622471246460583,0.7498313974794988,0.7958070346785908,0.7958070346785908
2890,0.4065947329956576,0.4065947329956576,0.6376478126643718,0.7542520982335664,0.7542520982335664
2891,0.3929978720817401,0.3929978720817401,0.6268954235610117,0.7506326082400412,0.7506326082400412
2892,0.6269669881388737,0.6269669881388737,0.7918124703102838,0.8137262186593274,0.8137262186593273
2893,0.8145088480716138,0.8145088480716138,0.9025014393737075,0.8725254531116816,0.8725254531116816
2894,0.602850599831698,0.602850599831698,0.7764345431726348,0.806969148913373,0.806969148913373
2895,0.3997652288888004,0.3997652288888004,0.6322699019317625,0.752435160658789,0.752435160658789
2896,0.47630646421153083,0.47630646421153083,0.6901495955309479,0.772751822717595,0.772751822717595
2897,0.5793320993943543,0.5793320993943543,0.7611386860450297,0.8004750166207373,0.8004750166207373
2898,0.6375705790979983,0.6375705790979983,0.7984801682559175,0.8167334219667597,0.8167334219667597
2899,0.5784003927508836,0.5784003927508836,0.7605263918832033,0.8002194503474722,0.8002194503474722
2900,0.48538392671437386,0.48538392671437386,0.6966950026477684,0.7751648762047205,0.7751648762047205
2901,0.5750081573195319,0.5750081573195319,0.7582929231632932,0.7992899783117001,0.7992899783117001
2902,0.5584457165402539,0.5584457165402539,0.7472922564433904,0.7947734002147018,0.7947734002147018
2903,0.6408731453639439,0.6408731453639439,0.8005455298507037,0.8176749833633645,0.8176749833633645
2904,0.5032100269872076,0.5032100269872076,0.709372981574015,0.7799140249713061,0.7799140249713061
2905,0.7795494574031651,0.7795494574031651,0.8829209802712613,0.8603104515191283,0.8603104515191283
2906,0.3430635235521469,0.3430635235521469,0.5857162483251998,0.7372314860075506,0.7372314860075506
2907,0.27491297665828546,0.27491297665828546,0.5243214440191107,0.7184333838500234,0.7184333838500234
2908,0.4391213814729263,0.4391213814729263,0.6626623434849201,0.7628862240347192,0.7628862240347193
2909,0.6367411596694766,0.6367411596694766,0.7979606253879177,0.8164973321664949,0.8164973321664949
2910,0.6104033322293614,0.6104033322293614,0.7812831319242477,0.8090738065482928,0.8090738065482928
2911,0.5337452256885961,0.5337452256885961,0.7305786923313573,0.7880954194027248,0.7880954194027248
2912,0.6474332926809089,0.6474332926809089,0.8046323959926724,0.819552591222388,0.819552591222388
2913,0.6251103768156576,0.6251103768156576,0.7906392203879452,0.8132020790568701,0.8132020790568701
2914,0.5394932140472857,0.5394932140472857,0.7345020177285327,0.7896439596495712,0.7896439596495712
